,Rate
0,0.00027619121270037675
1,0.05007737326491908
2,0.007983350960390297
3,0.07474814767125819
4,0.019285427539140906
5,0.000702000702000702
6,0.012158492059209698
7,0.03822954026736224
8,0.08617883478376404
9,0.08296335838261111
10,0.21173507932510702
11,0.006178969436169039
12,0.0024232670003773568
13,0.003278530446940842
14,0.00755090350466073
15,0.09583358168921738
16,0.0021490792389394055
17,0.0014874312063067083
18,0.003146818762906874
19,5.7267208796243274e-05
20,0.012658227848101266
21,0.010853032162303164
22,0.08075687476449635
23,0.0030407401536222275
24,0.06346492659053833
25,0.002019330680102731
26,0.0016381691342493034
27,0.047592771416747136
28,0.00227078106661049
29,0.008804049324215173
30,0.0034101365003177736
31,0.06296318167055419
32,0.003022393185877181
33,0.006518132258829107
34,0.0033751173739748246
35,0.013467244921250857
36,0.001672091675212913
37,0.03523776374455107
38,0.002621502357339452
39,0.06504549814637181
40,0.002438779732423859
41,0.00074757039621231
42,0.007956600361663653
43,0.00011927480916030534
44,0.005163700285651505
45,0.0036126655805057734
46,0.0764567901234568
47,0.002979906044514898
48,0.0025018557721386745
49,0.002557111649252341
50,0.015406162464985995
51,0.0016576875259013675
52,0.07302811077612309
53,0.0479208084824387
54,0.0037411456256292944
55,0.1267423538442891
56,0.0
57,0.0019961305776494795
58,0.08693049646406899
59,0.0028203624584624836
60,0.0007304601899196494
61,0.0003044934533907521
62,0.0015144822363854357
63,0.0024521251751517983
64,0.0024521251751517983
65,0.0033084190772018377
66,0.006851922344880091
67,0.002535702502710091
68,0.03758706794585359
69,0.0030367925853110518
70,0.19441739694904253
71,0.008855154965211892
72,0.0017431955944693157
73,0.0028953066835356806
74,0.018050541516245487
75,0.0037057122198120027
76,0.003447880651754503
77,0.002258746437096394
78,0.11583078935891845
79,0.005469676293595222
80,0.0
81,0.0028789972136246808
82,0.0007603511439828576
83,0.0027353544563483018
84,0.006031295093795094
85,0.004328724641426541
86,0.0003408897221748764
87,0.003801904258132769
88,0.0036599806236319926
89,0.07842350640903302
90,0.004247954688483323
91,0.004247954688483323
92,0.0003427004797806717
93,0.0002495632642874969
94,0.0017112822393350446
95,0.002627803582335478
96,0.0011250175783996624
97,0.0272386233893329
98,0.011228945726762321
99,0.0
